Part;Value;Device;Package;Description;;FARNELL;;DIGIKEY;;LINK
C1;4700µ;CPOL-EU153CLV-0505;153CLV-0505;POLARIZED CAPACITOR, European symbol;;;;;;
C2;10µ;CPOL-EU153CLV-0505;153CLV-0505;POLARIZED CAPACITOR, European symbol;;;;;;
C3;10µ;CPOL-EU153CLV-0505;153CLV-0505;POLARIZED CAPACITOR, European symbol;;;;;;
C5;0.1µ;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;;
C6;10µ;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;;
D1;ES2D;ES2D;SMB;DIODE;;1467491;;;;https://be.farnell.com/on-semiconductor/es2d/diode-fast-2a-200v-smd-do-214/dp/1467491?st=ES2D
J1-SOLAR_IN;;CONN-HEADER-SMD-PH-SIDE-(2P-2.0MM);HW2-SMD-2.0-90D;320110026;;;;;;
R4;270k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R5;100k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R6;2k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R7;100k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R8;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R9;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R10;150k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;
R13;1k2;R-EU_R1206W;R1206W;RESISTOR, European symbol;;;;;;
R14;330R;R-EU_R1206W;R1206W;RESISTOR, European symbol;;;;;;
R15;2k7;R-EU_R1206W;R1206W;RESISTOR, European symbol;;;;;;
SV2;;MA04-1;MA04-1;PIN HEADER;;;;;;
U$1;MCP73871_XXX_ML;MCP73871_XXX_ML;QFN20_4X4MC;;;1642489;;;;https://be.farnell.com/microchip/mcp73871-2cci-ml/ic-battery-management-cont-qfn20/dp/1642489?st=MCP73871
U$2;AP9101CK6-AETRG1;AP9101CK6-AETRG1;SOT-23-6;;;;;AP9101CK6-AETRG1;;https://www.digikey.be/product-detail/en/diodes-incorporated/AP9101CK6-AETRG1/AP9101CK6-AETRG1DICT-ND/8545970?utm_adgroup=PMIC&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Integrated%20Circuits%20%28ICs%29&utm_term=&productid=8545970&gclid=CjwKCAjwmKLzBRBeEiwACCVihlH3evLwQW93xjtKdKQVC7H8g2uD1WYSCb90EMSCCZCaclaaR0S0GRoCADwQAvD_BwE
U$3;MCP73833-FCI/MF;MCP73833-FCI/MF;SOP50P490X110-10N;;;1605576;;;;https://be.farnell.com/microchip/mcp73833-fci-un/ic-charge-control-li-ion-1a-msop/dp/1605576?st=MCP73833
U$4;SI4804CDY-T1-GE3;SI4804CDY-T1-GE3;SOIC-8;;;1779273;;;;https://be.farnell.com/vishay/si4804cdy-t1-ge3/mosfet-nn-ch-30v-8a-so8/dp/1779273?ost=DMN3024LSD&iscrfnonsku=true&ddkey=https%3Anl-BE%2FElement14_Belgium%2Fsearch
